,date_CSCO,open_CSCO,close_CSCO,volume_CSCO,high_CSCO,low_CSCO,last_CSCO,date_MRK,open_MRK,close_MRK,volume_MRK,high_MRK,low_MRK,last_MRK,date_MSFT,open_MSFT,close_MSFT,volume_MSFT,high_MSFT,low_MSFT,last_MSFT
145,2021-01-06,43.36000000000018,43.97999999999968,228698.89085545723,44.88,43.25,44.53938053097343,2021-01-06,80.36999999999986,81.09999999999964,197405.5221518988,82.74,80.27,82.22235759493665,2021-01-06,214.0100000000001,217.90000000000023,415076.1246290801,216.47,211.99,214.7518694362017
146,2021-01-07,44.22999999999969,44.39999999999976,219150.56,45.09,44.03,44.72769230769233,2021-01-07,82.50999999999955,82.38000000000014,128821.8193548387,84.36,82.1,83.61451612903221,2021-01-07,214.08999999999813,212.25,324241.8517441861,219.345,213.725,217.55393895348817
147,2021-01-08,44.64999999999976,44.95999999999966,319381.6506410256,45.42,44.25,45.06509615384615,2021-01-08,84.33000000000062,84.02000000000037,131152.15506329114,84.33,82.565,82.89753164556971,2021-01-08,217.6600000000018,218.29000000000025,327670.0,220.55,217.035,218.59679999999992
148,2021-01-11,44.809999999999896,45.059999999999896,367268.24437299033,45.96,44.81,45.58281350482316,2021-01-11,82.70999999999941,83.02999999999972,136079.47692307693,85.56,82.65,84.45329230769225,2021-01-11,218.57000000000056,219.6200000000005,257610.3976261128,218.895,216.74,217.93440652818973
149,2021-01-12,44.95000000000022,45.36000000000016,280843.9548387097,45.92,44.95,45.48119354838712,2021-01-12,85.31000000000043,85.0,128542.2679127726,85.35,82.555,83.22281931464174,2021-01-12,217.5299999999992,217.4899999999997,382565.7788161994,217.67,213.33,215.11518691588785
150,2021-01-13,45.35000000000024,45.79000000000033,348605.06375838927,45.97,45.185,45.588104026845656,2021-01-13,83.29000000000059,83.09000000000012,143575.98159509202,83.33,82.29,82.58291411042946,2021-01-13,213.90000000000032,214.9299999999995,359956.146627566,216.75,213.81,215.62390029325525
151,2021-01-14,45.14999999999976,45.36000000000018,363141.42236024846,45.605,44.62,45.32315217391305,2021-01-14,82.68999999999966,82.34000000000012,158228.3122923588,82.795,81.88,82.38707641196014,2021-01-14,215.87000000000089,216.33999999999824,276266.0,217.44,212.76,214.7908281250001
152,2021-01-15,44.90999999999988,45.14999999999976,454667.346749226,45.655,44.82,45.35411764705884,2021-01-15,81.81999999999977,82.16999999999939,133359.96214511042,83.495,81.72,82.83687697160876,2021-01-15,213.59999999999965,213.0199999999991,351457.1323529412,214.51,212.07,213.49713235294112
153,2021-01-19,45.72999999999969,45.43000000000019,311195.853125,45.73,44.765,45.12868750000004,2021-01-19,83.70999999999941,83.38000000000017,158948.12738853504,83.86,82.7,83.05525477707008,2021-01-19,213.8899999999995,212.65000000000103,341005.2,216.98,212.65,214.88386885245893
154,2021-01-20,45.31999999999981,45.19000000000012,205206.253125,45.5,45.15,45.31165625000006,2021-01-20,83.4000000000004,83.1899999999996,163264.6037735849,83.54,82.27,82.82545597484278,2021-01-20,217.8600000000005,216.440000000001,702728.4727272728,225.78,217.3,223.49563636363607
155,2021-01-21,45.20000000000024,45.34000000000012,336843.0218068536,45.245,44.71,45.01263239875389,2021-01-21,82.0,82.45999999999943,169319.22950819673,82.0,80.96,81.28942622950815,2021-01-21,224.629999999999,224.3399999999983,746129.3712374582,226.3,222.44,225.10210702341155
156,2021-01-22,44.84000000000012,45.11000000000017,243617.756329114,44.89,44.22,44.67436708860763,2021-01-22,80.95999999999941,81.18000000000023,191559.5537974684,81.42,80.78,81.14026898734173,2021-01-22,225.74000000000007,224.9700000000008,770551.7223880597,230.045,225.62,227.81719402985087
157,2021-01-25,45.04000000000037,44.77000000000031,193571.04,45.175,44.71,44.9342923076923,2021-01-25,79.95999999999943,80.97999999999965,187813.87306501548,81.125,79.94,80.67199690402468,2021-01-25,229.09999999999985,225.9499999999986,450358.8475609756,229.77,224.35,227.78094512195133
158,2021-01-26,44.8799999999997,45.03000000000024,124951.56097560975,45.36,44.7,45.15388719512196,2021-01-26,81.02000000000035,81.15000000000038,218506.20625,81.06,80.14,80.40787499999998,2021-01-26,231.19000000000108,229.5299999999992,722453.0855457227,234.165,230.08,232.54060471976405
159,2021-01-27,44.95999999999962,45.26000000000018,456923.3529411765,46.46,44.81,45.82938235294119,2021-01-27,79.86000000000033,80.25,323523.7156862745,80.11,76.85,78.05741830065365,2021-01-27,236.1199999999995,232.3300000000014,995777.2835051548,240.435,230.16,235.6677963917529
160,2021-01-28,45.11000000000018,45.70000000000026,323708.03975535167,46.27,45.11,45.77145259938832,2021-01-28,77.15000000000032,77.06999999999978,259436.10280373832,78.5,77.09,78.1783644859813,2021-01-28,232.339999999998,232.89999999999984,938679.1911764706,242.645,229.32,239.36457352941173
161,2021-01-29,44.73999999999982,45.34000000000012,241125.92073170733,45.37,44.49,44.8726524390244,2021-01-29,77.81000000000033,77.91999999999948,212542.94267515923,78.365,76.395,77.33394904458594,2021-01-29,236.0800000000013,238.9299999999988,629731.2435530087,238.02,231.445,234.58322349570207
162,2021-02-01,44.78000000000024,44.57999999999994,179125.3364197531,45.625,44.66,45.27955246913581,2021-02-01,78.04000000000056,77.06999999999978,143598.11803278688,78.33,77.37,77.72575409836067,2021-02-01,234.5,231.9600000000006,521746.93696275074,242.5,232.48,238.62659025787977
163,2021-02-02,45.42000000000006,45.39999999999976,182238.7654320988,45.935,45.4,45.70875,2021-02-02,78.13999999999966,77.36000000000034,162019.8878205128,78.9,77.72,78.57120192307693,2021-02-02,241.7599999999996,239.6499999999997,540988.5402985074,242.28,238.71,240.4635074626866
164,2021-02-03,45.63999999999983,45.82999999999994,217638.96875,46.16,45.535,45.88750000000002,2021-02-03,77.72999999999963,77.77000000000037,136695.8761329305,78.14,77.16,77.58569486404832,2021-02-03,239.8600000000005,239.50999999999965,328604.3878787879,245.09,239.16,242.7653484848485
165,2021-02-04,45.70999999999967,45.7700000000003,613790.2006688963,47.315,45.64,47.01814381270904,2021-02-04,77.36000000000035,77.31999999999977,337090.6280487805,77.36,75.55,76.1638109756098,2021-02-04,243.4149999999996,243.0,435422.4877300613,244.14,240.37,241.2513650306749
166,2021-02-05,47.4799999999997,47.25,597860.1362126246,48.345,47.48,48.07242524916943,2021-02-05,76.41999999999946,76.02999999999982,256570.67289719623,76.98,75.415,75.86481308411219,2021-02-05,242.72000000000085,242.0099999999996,256090.38392857145,243.18,240.44,241.7007142857142
167,2021-02-08,48.60000000000024,48.079999999999934,532192.25,49.335,48.6,48.92040540540538,2021-02-08,75.86999999999998,75.79999999999959,298071.81144781143,76.0,74.655,75.17452861952866,2021-02-08,243.3249999999985,242.1999999999985,244702.5277777777,243.57,240.84,241.76739197530867
168,2021-02-09,48.940000000000126,48.940000000000126,509728.77,48.94,48.41,48.6398,2021-02-09,75.18999999999969,75.04000000000057,207434.46894409927,75.19,74.37,74.77063664596274,2021-02-09,241.74000000000035,242.47000000000085,273141.2966360856,244.76,241.39,243.5281957186543
169,2021-02-10,46.20000000000028,48.5,894471.3834808259,47.405,45.88,46.51685840707964,2021-02-10,75.22000000000023,75.04000000000057,186457.75297619047,75.37,74.54,74.84020833333334,2021-02-10,244.26999999999964,243.76999999999964,358798.7341389728,245.92,240.9,242.6318731117826
170,2021-02-11,47.15999999999988,47.23999999999982,444802.5917721519,47.905,47.16,47.63322784810125,2021-02-11,75.04000000000056,74.88999999999967,155285.94392523365,75.09,74.23,74.60953271028039,2021-02-11,243.66000000000204,242.82000000000124,240840.6696165192,245.105,242.22,243.2986135693212
171,2021-02-12,47.45999999999963,47.579999999999934,256538.1286173633,47.685,46.915,47.150064308681706,2021-02-12,74.75999999999962,74.74000000000038,149126.91900311527,75.08,74.54,74.7326012461059,2021-02-12,244.0800000000013,244.4900000000004,254353.07668711653,244.93,242.78,243.78648773006145
172,2021-02-16,47.39999999999976,47.29000000000037,338008.52411575563,47.4,46.4,46.65892282958198,2021-02-16,75.43999999999969,75.0,143544.0092879257,75.44,74.05,74.31298761609901,2021-02-16,245.6399999999995,244.99000000000063,296340.2927536232,246.105,242.925,244.11133333333345
173,2021-02-17,46.44000000000013,46.51000000000018,171567.85889570552,46.44,45.865,46.1808282208589,2021-02-17,74.70000000000043,74.25,182801.49842271293,76.05,74.37,75.67894321766563,2021-02-17,242.94999999999848,243.69999999999848,278457.0660660661,244.24,240.97,242.6254654654656
174,2021-02-18,45.97999999999969,46.25,218889.42222222223,46.39,45.795,46.05928571428569,2021-02-18,75.5,75.54000000000057,243720.8947368421,75.885,75.07,75.48425696594427,2021-02-18,242.5800000000013,244.19999999999848,181346.03857566768,243.885,240.87,242.20086053412496
175,2021-02-19,46.5200000000003,46.34000000000012,375197.7113402062,46.58,45.575,45.93828178694159,2021-02-19,75.7400000000004,75.40999999999988,255504.48757763967,75.74,74.3,74.8792857142857,2021-02-19,244.5800000000013,243.78999999999965,424273.7570977918,244.66,240.195,241.4726025236592
176,2021-02-22,45.45999999999969,45.68000000000018,357545.34129692835,45.675,44.825,45.33372013651879,2021-02-22,74.38999999999967,74.31000000000027,132923.30891719746,75.06,73.73,74.45729299363062,2021-02-22,237.25,240.9700000000008,803064.6290322581,237.955,232.41,234.6736935483871
177,2021-02-23,45.34000000000012,45.43000000000018,316165.9658703072,45.775,45.1,45.41175767918087,2021-02-23,74.97999999999965,74.93000000000022,134180.7866242038,75.95,74.48,74.86028662420381,2021-02-23,230.32000000000065,234.50999999999985,414659.1851851852,234.82,228.98,232.2059104938271
178,2021-02-24,45.5,45.51000000000018,395439.8732394366,45.795,45.04,45.512500000000045,2021-02-24,74.81999999999978,74.54000000000053,174313.77319587627,75.26,74.39,74.93625429553269,2021-02-24,234.6699999999987,233.2699999999988,405332.1374570447,235.2,229.02,232.6270790378009
179,2021-02-25,45.5800000000005,45.74000000000038,304017.1566666667,46.235,45.24,45.68410000000002,2021-02-25,74.080000000001,74.56999999999975,318579.30263157893,74.99,74.08,74.47083881578946,2021-02-25,232.0200000000012,234.55000000000203,470642.1337579618,234.555,227.89,231.11050955414024
180,2021-02-26,45.58000000000069,45.52000000000037,374113.0440677966,45.79,44.765,45.3055254237288,2021-02-26,74.58999999999911,74.6200000000005,252909.6081081081,74.67,72.59,73.28625000000002,2021-02-26,228.71000000000188,228.9900000000013,308604.6699669967,235.35,228.59,233.1628382838285
181,2021-03-01,45.2799999999997,44.86999999999981,430655.8631578948,46.225,45.16,46.02271929824562,2021-03-01,73.26000000000002,72.62000000000043,183853.385665529,73.38,72.18,72.97554607508529,2021-03-01,235.14000000000084,232.380000000002,359515.5273972603,237.46,233.15,236.5382705479451
182,2021-03-02,45.72999999999963,45.91999999999927,109681.7898089172,46.07,45.41,45.67778662420383,2021-03-02,72.62999999999948,72.3799999999995,279224.159744409,73.5,72.405,72.9131629392971,2021-03-02,236.5399999999985,236.94000000000167,271532.1523809524,237.34,233.465,234.9203809523811
183,2021-03-03,45.56000000000049,45.51499999999962,205916.3435582822,45.56,45.0,45.28133435582827,2021-03-03,73.05999999999968,72.84999999999914,229009.550295858,73.72,72.425,73.04596153846157,2021-03-03,234.70000000000016,233.8699999999978,452233.06232294615,234.78,227.29,229.8961189801698
184,2021-03-04,45.134999999999394,45.13000000000025,345101.56119402987,45.47,44.145,44.79508955223881,2021-03-04,73.18000000000026,73.3000000000006,181650.19886363635,73.36,71.735,72.52313920454542,2021-03-04,227.14000000000183,227.5599999999983,428632.5535248042,232.485,224.265,227.71651436031328
185,2021-03-05,45.08000000000074,44.560000000000485,705027.7699115045,46.735,44.74,46.27047197640116,2021-03-05,72.22000000000065,72.16999999999891,124621.01851851853,73.41,72.03,72.66344135802476,2021-03-05,227.4900000000004,226.7300000000006,371141.1675675676,233.26,225.01,229.77587837837825
186,2021-03-08,45.90999999999987,46.25,685431.228125,48.4,45.82,47.793406249999975,2021-03-08,73.55999999999966,73.12999999999941,221576.73273273272,75.565,73.42,74.85618618618619,2021-03-08,228.86999999999784,231.6000000000029,407476.3304843305,233.35,227.175,230.46747863247865
187,2021-03-09,47.58000000000077,47.50999999999936,441816.4106583072,48.37,47.58,48.14034482758619,2021-03-09,74.59999999999914,74.16999999999888,300275.33229813667,75.43,74.17,74.81545031055902,2021-03-09,231.85999999999856,227.3900000000012,329394.4610778443,235.37,231.64,233.9653143712574
188,2021-03-10,47.61999999999972,47.88999999999961,244939.332247557,48.79,47.61,48.48529315960912,2021-03-10,74.58000000000114,74.13999999999955,215407.3680981595,75.23,74.13,74.86700920245406,2021-03-10,233.350000000003,233.779999999999,336854.3123209169,236.95,232.05,234.2598137535816
189,2021-03-15,48.75999999999944,48.819999999999766,286454.3987138264,49.44,48.7,49.16913183279743,2021-03-15,74.87999999999963,74.5999999999992,395634.72039473685,76.56,74.88,76.0454276315789,2021-03-15,235.14999999999745,235.75,382519.5736677116,236.5,231.81,233.275235109718
190,2021-03-16,49.45999999999938,49.40999999999987,287257.928125,49.755,49.185,49.52725000000002,2021-03-16,76.36000000000044,76.2300000000005,365301.3102310231,77.16,76.165,76.73028052805277,2021-03-16,235.67999999999645,234.80999999999835,408715.9484848485,240.06,235.57,238.5061212121213
191,2021-03-17,49.50999999999989,49.66999999999975,1746.6,49.6,49.23,49.482000000000006,2021-03-17,76.76000000000005,76.80999999999977,326308.41194968554,77.49,75.97,76.97625786163525,2021-03-17,235.85000000000267,237.7100000000019,302599.85846153845,238.54,233.25,235.4876769230769
192,2021-03-18,49.02999999999967,49.41999999999928,256723.14057507983,49.57,48.58,49.22370607028752,2021-03-18,77.23999999999997,77.30000000000042,289259.42319749214,78.18,77.225,77.73263322884016,2021-03-18,233.7400000000015,237.0399999999981,408495.11550151976,234.18,230.35,232.40063829787223
193,2021-03-19,48.95000000000048,48.79999999999952,333046.1904761905,49.19,48.32,48.81669841269841,2021-03-19,77.40000000000084,77.26999999999936,392869.4,78.085,76.025,76.786703125,2021-03-19,231.8800000000019,230.72000000000097,303877.3333333333,232.45,229.35,231.17912912912928
194,2021-03-22,49.020000000000366,48.979999999999634,488270.8388157895,50.37,48.98,49.925263157894754,2021-03-22,77.45999999999928,77.51000000000006,217107.1480263158,77.695,75.88,77.09437499999999,2021-03-22,232.2700000000008,230.35000000000247,361807.8971962617,236.885,230.38,235.5221495327102
195,2021-03-23,50.13999999999962,50.29999999999952,375767.7185430463,50.67,49.9,50.33440397350992,2021-03-23,77.27999999999936,77.51000000000008,189163.56172839503,77.53,76.035,76.62660493827164,2021-03-23,236.58000000000072,235.9900000000017,337173.7898089172,241.055,236.16,239.4048726114653
196,2021-03-24,50.13999999999963,50.00999999999942,508185.9528619529,50.455,49.55,50.12574074074076,2021-03-24,76.33999999999915,76.2699999999994,153385.24691358025,76.675,75.95,76.40655864197531,2021-03-24,239.08000000000047,237.58000000000047,390127.4228395062,239.08,235.34,236.6119135802469
197,2021-03-25,50.319999999999766,49.65000000000047,627559.5085324232,51.4,50.285,50.57549488054602,2021-03-25,76.22000000000065,76.23999999999991,188424.3440233236,76.59,75.355,75.77027696793003,2021-03-25,234.82499999999905,235.4600000000019,385257.5538922156,236.92,231.58,233.22642215568865
198,2021-03-26,50.36000000000031,50.50999999999972,82032.60784313726,51.485,50.3,51.13058823529413,2021-03-26,76.22000000000064,76.06999999999975,105649.14285714286,77.44,75.86,76.56705357142866,2021-03-26,231.880000000002,232.33999999999736,353273.63746223564,236.475,230.64,233.9772658610272
199,2021-03-29,52.24000000000044,52.569999999999766,141816.95698924732,52.935,52.24,52.517311827957,2021-03-29,77.29999999999993,77.38999999999959,52734.2,78.55,77.18,77.4502631578947,2021-03-29,235.9199999999985,236.47999999999905,127587.02061855672,236.77,231.885,233.4590206185566
200,2021-04-01,51.88000000000027,51.709999999999376,288819.05576208176,52.08,51.345,51.82609665427508,2021-04-01,77.2099999999993,77.08999999999911,147429.35294117648,77.46,76.82,77.0574458204335,2021-04-01,238.58000000000047,235.77000000000064,356569.5714285714,242.625,238.06,241.2746984126983
201,2021-04-05,51.74000000000064,51.97999999999963,337987.4921135647,52.92,51.54,52.558895899053645,2021-04-05,77.4800000000006,77.08999999999915,320552.1022364217,77.91,76.775,77.29825878594245,2021-04-05,242.2400000000012,242.35000000000272,495779.0489296636,249.975,242.03,248.2815596330276
202,2021-04-06,52.40000000000055,52.40999999999987,247309.72136222912,52.4,51.79,52.01510835913309,2021-04-06,77.01000000000005,77.0,363472.1104100946,77.01,75.64,76.40255520504729,2021-04-06,248.47000000000097,249.0700000000037,266877.7974683544,249.395,246.895,248.4418512658225
203,2021-04-07,52.06000000000053,52.02500000000054,208833.5202492212,52.16,51.57,51.73501557632397,2021-04-07,76.0650000000002,75.7900000000007,179895.75471698114,76.405,75.72,75.95130503144662,2021-04-07,247.9900000000013,247.8599999999992,265594.0551948052,250.92,247.19,249.7666396103898
204,2021-04-08,51.779999999999625,51.77000000000037,142152.0668789809,52.0,51.445,51.68528662420382,2021-04-08,76.3399999999991,76.1200000000005,213936.31764705884,76.42,75.28,75.83416176470584,2021-04-08,252.3268465430023,249.8999999999972,174909.9846625767,254.14,251.92,252.94452453987728
205,2021-04-09,51.59999999999947,51.90999999999987,230872.28037383177,52.16,51.55,51.84862928348904,2021-04-09,75.51000000000002,75.48999999999998,87917.03058103975,76.375,75.43,75.93033639143732,2021-04-09,252.52999999999903,253.25,235820.1070336392,255.945,252.0,254.30704892966355
